seq,title,writer,content
385,여자분들 소개팅남 직업이 백화점 신발매장 직원이면 많이 별로인가요?,초코볼러,나이는 30대 후반이라고 가정했을 때요  무기명 투표 중어떻게 생각하세요 솔직히 별로다 아무 상관없다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
386,저희아버지 estp?isfp? 헷갈려요 뭘까요..,오비토 ENFP 7w8,"estp 라고 느낀 부분estj인 어머니 보다 구체적인 계획력이 부족하심누가부르면 다음날 정말 중요한일이 있지 않는 이상 꼭 나가심 술자리,식사자리 모두단체내에서 리더 xx장 같은걸 도맡아 하심자녀가 감정적으로 힘들어하면 대수롭지않게 여기고 감정적인 위로 보다는 현실적인 방안으로 도와주심enfp인 자녀에게 술,친구,모임좋아함 너는 본인의 90를 쏙 빼닮았다며 좋아하면서 미워하심?친구좋아하고 밖으로 나도는거에대해 estj어머니 보다는 매우 긍정적인 반응이심호탕해보이고싶지만 은근 본인이 계산적이고 쪼잔한?부분이 있다는걸 스스로 인지하고 계심 남자라면 돈 집안 다떠나서 가정을 책임질만한 리더쉽이 가장 중요하다고 생각하심어릴적 자녀와 몸으로 놀아주는걸 별로 힘들어하지 않음화낼땐 불같이 화내고 대신 뒤끝없음isfp 라고 느낀 부분enfp,enfj,esfj F형 자녀와 estj어머니보다는 대화가 잘통함자녀에게든 남에게든 싫은소리 잘 안하려고 함자녀에게 걱정은 되지만 알아서 잘하겠지 라는 믿음이 장착되어있음본인 기분에 따라 사용하는 언어나 태도가 굉장히 달라짐기분 좋을따는 사람좋아모임조아  안좋을때는 다 귀찮아힘든일이 있어도 겉으로 표출 잘안함. 다해결되고나서 나중에 말함왠만하면 좋은게 좋은거지 라는 마인드자녀 훈육 후 미안하다는 말을 항상 하심자녀의 결혼상대는 1번째가 서로 좋아하는 마음,감정이라고 하심결과보다는 과정 중시본인이 선호하는 취향이 거의없음. 상대가 좋으면 나도 좋아공통적으로 느끼는 부분귀차니즘 심함 본인이 관심없는것에 대해현실적임아이같은 모습enfp자녀와 굉장히 친구같은 관계안그러고싶어하지만 소심한 부분이 있음계산적임통이?작음저희 아부지 엠비탸이 검사 하기로 약속하시고서 자꾸 미루십니다.. 뭘까여?! 첨엔 estp 빼박같았는데 잇프피랑 헷갈려요감별 부탁드려요"
387,여자들이 잇프제 남친/연인과 헤어지면 힘든 이유(근거 미약),앤디 ISFJ,"만나는 동안 하나부터 열까지 잇프제가 다 챙겨줬는데, 이제부터 본인이 다 해야하니 뭐부터 뭘 어떻게 할지 하나도 모르겠고, 나를 위해서 한 일들 이 힘들고 어려운 걸, 잇프제는 힘든 내색 없이쉽게 했다는 것에 정신적 충격을 받음.그리고, 마지막으로 본인의 지랄맞은 성격을 다 맞춰주는 사람은 잇프제밖에 없다는 걸 다른 놈 만나보고 다시 한번 깨달음.아예 잇프제 남자를 몰랐다면 모를까속터지는 마음 빼고는 잇프제가 남친애인으로는 제일이로다.다른 단점도 있지만 속 터지는 마음이 제일 미쳐버린다고 함.표본  옛날 여친들, 구wife, 현 애인한테 들은 얘기.극히 개인적인 소견이오니 재미로 봐주세요 "
388,소개팅 장소 도착했는데 상대방이 약속시간 10분 전에 전화해서 차가 너무 많이 막혀서 30분 정도 늦을 거 같다고 말한다면 어떻게 하시겠어요?,초코볼러,무기명 투표 중.기분좋게 기다린다열받지만 참고 기다린다 파토내고 나와버린다                    투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
389,사키노바 테스트 했는데 유형 분석 가능할까요ㅠ,모트 INTJ,"16 personalities에서는 INTJT 나오는 사람입니다I랑 N, 민감성 지표 T는 제가 느끼기에도 확실한데 일상에서 나머지 두 지표T,J가 헷갈려서 8기능 테스트 해봤는데 저렇게 나왔어요평소 INTJ 밈에서 나오는 스테레오 타입워커홀릭, 잡담 싫어함, 계획 지키려고 하고 실제로 세운 계획 다 완수함, 조용하고 차가운 분위기이랑 많이 다르기도 해서 유형이 너무 헷갈리네요.. 저는 계획은 항상 세우지만 지키려고 집착 안하고, 방 어지럽고, 제 의견이랑 달라도 속으로만 생각하거나 돌려서 말하지 굳이 나서서 다른 사람들이랑 다툼을 일으키려 하지도 않아요INTJ 부기능이 Te인데 타 기능에 비해 저렇게 낮게 나올 수 있는걸까요제가 INTJ가 맞는지, 타 유형의 가능성이 있는지 여쭤보려고 글 올려요!"
390,회사 그만두는데 직장동료가 이제부터 백수라고 놀린다면 어떻게 하시겠어요?,초코볼러,무기명 투표 중.장난으로 받아들인다 열받지만 참는다 말을 왜 그렇게 하냐고 따진다                    투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
391,시끄럽게 떠드는 사람 있을때 mbti 유형별 반응,초코볼러,
392,배우 박서준님 34살이라는데 동안인 건가요?,초코볼러,무기명 투표 중어떻게 생각하세요 동안이다 자기 나이처럼 보인다 노안이다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
393,8유형검사 해봤어요,소링intp,3개다 인팁 실환가..다른 분들은 거의다 높고 균일하게 나오시던데 왜이렇게 극명하게 차이가크죠 ..
394,mbti 이렇게 나왔는데,뿌앵,요렇게 해서 intj가 나왔는데거의 반반비율로 나온것같아서 맞나 싶어요어떻게 해석해야 하는 걸까요??아님 다른 테스트를 해봐야하는걸까요..?
395,글씨체 궁예,뽀로로 의대모험 Infj,제 유형 맞춰주세영
396,눈궁예 해쥬세요!(펑),파시라솔,어떤 유형일까요 
397,인티제분들 보통 순하게 생겼다는 말 들으시나요?,동고비intj,전 생긴건 순하고 세상물정 모르게 생겼다는 말 많이 들어요. 생긴거만 보고 잡상인이 사기치려고 덤볐다가 순삭으로 쳐내서 상대가 나가떨어질때도 많아요. 팩폭날리고 화나서 본 성격 나오면 완전 깜놀하더라구요 다중이인가.  일단 외모보도 만만하게 본 사람들은 거의 죽창으로 찢듯 가만 안둬요. 되게 싸나운데 평소에 조용조용하고 사고 안치는 성격이랄까요. 보통은 시크하고 새침하게도 보긴한데 눈이 좀 순하게 생겼나요?오늘밤은 좀 더 놀고싶어요.  
398,Entp랑 Intj 가 번갈아 나올수도 있을까요???,ENTP브라우웅,몇개월이 지나도 mbti검사할때마다 entp가 나오는데가끔 뭐 mbti를 기반으로 한 테스트 해보면intj 나올때가 있어요!비슷한 유형인가요???
399,공유 43살이라는데 동안인 건가요?,초코볼러,무기명 투표 중어떻게 생각하세요 동안이다 자기 나이처럼 보인다 노안이다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
400,지인 mbti 궁예 의미없는 이유,estp뀨잉,"정식검사, 약식검사 다 estp가 나왔고 estp 특징들 보면 다 저겠거니 하거든요?근데 주변 사람들이랑 오늘 mbti 얘기하는데 다 저보고 enfj아니면 esfj일 줄 알았다고 확신의 j라고 하더군요 ... 글고 배려심 깊고 세심해서 f일 거라고 하고요 f 의미가 그건 아니지만 대게 이렇게들 알고있어서 그런 것 같아요물론 한쪽으로 치우쳐진 건 없기에 모든 유형의 특징이 조금씩은 해당되겠지만!! 사회적인 모습일 수도 있고 치우치지 않아서 여러 모습이 나오는 것일 수도 있으니까 궁예는 의미없단 생각이 드네요 .. 그리고 지금 생각해보면 과몰입인데 몇 유형에 환상 가졌던 적이 있어요 저랑 반대되는 infj나 enfj 등등이요근데 그것도 사람 나름이더라구요.. 결론은  이 유형을 꼭 만나고싶다 라는 생각은 아무 의미 없는 것 같다!"
401,"외출 전, 준비 습관 p와j",동고비intj,저는 intj인데 전날 미리 다 챙겨놓고 네비게이션음악어플 다 켜놓고 차에서는 바로바로정리 셋팅 후 출발 가능하게 하는편인데isfp남편은 출발직전 하나 둘씩 챙기고 다시 집에 들락거리길 여러번 차 출발하고 도로에서 네비찍기 시작합니다. 정확히 말하면 주소 물어보는것도 출발하고 가면서입니다. 제가 엄청 빡치는 부분인데 출발전 셋팅을 하고 운전할때는 운전만 해야는데 운전하면서 지도찍는게 정말 이해할 수 없고 너무 위험해보여서 남편이 운전하면 제가 텐션이 막 올라가요. p인 분들 보통 다 저래요?????
402,눈궁예 모닥불에 장작 하나 툭(이전글 노놉!),오리무중,몰까용맞추시면 펑예고마와용!
403,suv 차량 뒷유리에 달린 와이퍼🤔,동고비intj,엄청 귀엽지 않나요?
404,눈궁예해주세여 :),앵구링,맞춰주세요 
405,저 유형 뭐라는거죠?,아이앤프피infp,
406,눈 궁예해주세요🐥🐥,과자까까,제가 쓴 글 내역보면서 맞추면 반칙!!
407,눙궁예 3시에 펑,눙궁예,눈 잘 보라고 부릅!
408,엠비티아이가 남친 따라 가는데...,옆집언니,"이거 괜찮은건가요?성격이 이런걸까요?,,,아니 왜 그런진 모르겠는데 남친이 두 살 연상이고, 사귄지는 8달 정도 됐어요.분명 썸연애 초반에는 인프피였는데...어느새 정신차려보니 엣팁이 되어있더라구요...남친은 저랑 사귄지 얼마 안됐을 때에는 분명 엣팁이라 그랬는데몇 달 뒤에 제가 엔프피일때 다시 해보라고 시켰더니 엔팁이 되어있었고...되게 이상한건 남친이랑 연애 초반에 제가 제일 친한 남사친이랑 제 친구랑 셋이서 거의 매일 통화했었는데, 그때는 남사친이랑 엠비티아이가 정말 비슷했어요.우선 얘랑 저랑 남들한테 하는 짓은 비슷한것 같아요...제가 원래 팩트를 잘 안 때리던 사람이었는데 얘 따라 사람이 비판적으로 바뀐것 같고... 현실을 더 직시하게 된 느낌이에용...다만 전 스몰토크를 되게 좋아하고 일상얘기 하는걸 되게 좋아하는데남친은... 반응이 영... 톡으로도 웅.. 이러고 전화로는 아예 스몰토크 자체를 안 듣는것 같은 반응이고 전 거기에 또 서운해해요,,, 엔팁 엣팁 특성이 좀 많이 헷갈려서, 이것마저도 정상적인건가 싶네요,,, 괜찮은건가요 지금 이거?! 판단 좀 해주세요말이 좀 샜는데 아무튼...남친 만나기 전연애 초 제일 친한 남사친이랑 매일 통화할 때  INFP남친이랑 어느정도 지내던 시절  ENFP현재 1시간 전 검사결과  ESTP"
409,옷 궁예 코인탑승,뭐해,
410,고전게임 - 퍼즐버블,쭈니몬 ESTJ,"Loading... playerlikesoundmutesoundmutesoundvolume2soundvolume3 xPlayer Size0 x 0Current Resolution0PMax Abr Resolution0PProtocolhlsCurrent BandwidthAverage BandwidthBuffer HealthFrame Drop Rate00 도움말라이센스Video Statistic Version 4.17.48 HLSBuild Date 2020212NAVER Corp.     동영상 인코딩 중입니다.5분 이상 소요될 수 있으며, 영상의 길이에 따라 소요 시간은 달라집니다.    고전게임  퍼즐버블    쭈니쿤  재생 수90    topleft rightbottom마우스를 드래그 하세요360 Video도움말 MULTI TRACK멀티트랙의 트랙별 영상은 우측 관련영상에서 볼 수 있습니다.선거광고 안내       음소거0000  1259 화질 선택 옵션자동     자동       144p       270p       360p       480p       720p  HD      1080p  HD  화질  전체화면    0118  0354  0630  0905  1141 광고정보 더보기초 후 SKIP초 후 재생SKIP광고 후 계속됩니다.SNS 공유소스 코드Band Twitter Facebook Blog CafeURL 주소복사HTML 소스544 x 306740 x 416936 x 5261280 x 720복사Flash 미지원으로 Object 코드 퍼가기 기능은 더 이상 지원되지않습니다.도움말 플레이어 URL 복사 레이어 닫기"
411,눈궁예 부탁드립니다. (이전글 확인x),Probability,펑 참여자분들께 감사드립니다. 저의 유형은 intj입니다.
412,눈 궁예 ㅂㅌ,ㄴㄴ,이전글 보지 맙시다맞히면 상품 드림  정답은 인티제상품은 백화점 상품권 100만원이었고제가 가지겠음
413,다들 얼굴이 존잘인 남자(존예인 여자)라면 성격 안 좋아도 사귈 수 있으세요?,초코볼러,연예인급 존잘 존예라고 가정했을 때요  무기명 투표 중어떻게 하시겠어요 연애 결혼 둘다 가능 연애는 가능하지만 결혼은 불가능 연애 결혼 둘다 불가능                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
414,ENFJ 였는데 정식검사는 ESFJ (혼란) ㅋㅋ,온도ENFJ,몇번을 해도 엔프제가 나와서 엔프제인지 알았는데 정식검사 했는데 엣프제가 나왔어요  혼란스러움엔프제 이지만 항상 엣프제 같은 나라곤 생각은 아주 쬐금 종종 했지만 매번 엔프제가 나와서 엔프제인가보다 했는데...................특히 애정? 사랑? 쪽은 완전 엔프제랑 똑같아서요   그러다가 저번에 글 남겼을때 어떤분이 정식검사 해보라고 댓글 달아주셔서 보다가 저도 너무 궁금해서 어제 정식검사를 해봤는데궁금한건 절대 못참아요..............빨리 답이 나와야하는 성격..........정식검사 상담심리사님은NS는 의심의 여지? 없이 S인것 같다 하시면서 오히려 F랑 T랑 고민해보시라고 그러더라구요 의외였어요  사실 제일 놀랐던 부분임저는 항상 연애시 T랑 너무 안맞아서 나는 완전한 F라고 생각했는데.................................지수가 낮게 나온 이유는 비슷한 문항에 양극으로 제가 답을해서 지수가 낮게 나온거라고 하네요.근데 어제 확실히 이야기하면서 느낀게 T도 많이 가지고 있더라구요 제가........ 거의 공존수준 혹시 정식검사 안해보신분 있으면 기회되시면 한번쯤 해보는것도 나쁘지 않은것 같아요 몰랐던 사실을 알지도요 저처럼 아래는 정식검사 선호분명도 입니다   근데 와중에 정말 웃긴건!!!!!!!!!!!!!J는 어떤 검사시에도??항상 만점에 만점이라는거........... 저땜에 미치겠네요.................   
415,제 절친이….,리찌 enxp 7w6,인프젳였어요!!!!궁합이 너무 좋다했는데 
416,첫출근해서 점심시간에 말 안하고 도망가는 신입사원 이해되세요?,초코볼러,무기명 투표 중어떻게 생각하세요 그만둔다고 말하기 힘들 수도 있으니 충분히 이해된다말은 하고 그만둬야지 절대 이해 안된다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
417,ISFJ - 가끔 연애가 힘들다면… 잠시 나만의 시간을 갖자.,앤디 ISFJ,"저는 상대방한테 거의 다 맞춰줍니다.그런데, 너무 일방적으로만 흘러가는걸 느끼게 됩니다.내가 원하는건 살포시 무시하고, 본인이 원하는건 당연하게 생각하고 그분은 ENFP그렇게 계속하다가 내가 지쳐가고 있었어요.얘기를 해도 귓등으로 듣는지점점 얘기를 안 하다가 그냥 어느 날부터 얘기를 안 합니다.그냥.. 칼손절이죠. 그동안 좀 편하고 내 시간도 좀 갖고, 나름 괜찮더라구요.카톡이나 전화가 와도 칼손절.한 2개월쯤 지날무렵 잘 지내냐? 고 카톡이 오더라구요.내가 사랑했던 사람이라서마음이 약해져서 다시 연락을 해서 만나고 있어요.내가 좀 힘들다고 얘기했어요.데이트하는 문제라든가 자기한테만 일방적으로 맞춰주는 내 개인적인 성향 때문에 나 자신도 조금 힘들다고카톡이나, 전화연락하는 문제. 내 기준으로 너무 잦은 연락. 지금은 카톡이나 전화를 잘 안 한다고 뭐라 하지 않아서 좋음이별이 두렵다고 내가 힘든 문제를 얘기 안 하면 나만 힘들어 지는것 같아요.정 얘기하기 싫으면 상대방에게 얘기하고 잠시 나만의 시간을 갖는 것도 좋은 방법이라 생각됩니다.ISFJ 연인이나 배우자가 있는 분들은 쬐끔 참고하세요.사람은 100인 100색 입니다.MBTI는 재미로만 그러면서 내가 제일 심각. "
418,네타포르테 x Kim Cham Sae 사랑 유형 테스트,에찌 ENFP,"MANIA, 일편단심 해바라기httpswww.lovefashionlife.comnetaporterresult16754301?c3 "
419,저는 연애도 엣프제네요,esfj 코코,잇팁남자 찾으러 떠나볼까나  
420,다들 찜질방에서 팬티 입으시나요?,초코볼러,무기명 투표 중.입는다 안 입는다 상황에 따라 다르다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
421,저 무슨 유형일것 같나요?ㅎㅎ,쥰콩이,검사 카테고리에 연애퍼스널컬러 있길래 해봤는데완전 딱 맞아요 제 mbti 맞춰보세요!
422,여자분들 송중기 같은 남자 얼굴 어떻게 생각하세요?,초코볼러,무기명 투표 중송중기 호불호                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
423,이것만 보면 저 t같아요.,파써블 ENFJ,상대는 저 이후로도 치료가 어떻게 됐는지에대한 답은 없었어요..저 앞에 거의 10분정도를 계속 다치게 한 용접똥에 화내주고 토닥토닥해줬어요 상대 100퍼 f인가요 
424,시험 전날은 j보다 p가 더 바쁘다고 한다,시츄왈왈 INTJ,출처 대학내일
425,SJ인 사람이 사이비종교같은거에 세뇌되면 어떻게 해야하나요?,데네브 칼리,"제주위에 ESFJ가이런거에 완전히 세뇌되어서말이 안통해요눈막귀막도 엄청 심하고조금이라도 한마디 반박하면 화내면서 감정적으로 나오고 ..내로남불도 심해서 자기말은 무조건 옳고 남의말은 무조건 틀렸다네요그러면서 자기가 편협한걸 인정안하고 주위사람에게 질리도록 그주제에 대해서 설득시티려고  얘길 꺼내고 강요합니다 사람 질립니다조금이라도 반박하면 감정적으로 마구 풀발하는데 논리라곤 1도 없이 마치 어린애가 떼쓰는거같습니다반박하면 니가 아는게 전분줄 아냐고 오만하다고, 자기 무시한다고, 다 널 위한거라고 궤변을 늘러놓습니다너무 완고하고 질리도록 강요하는데어떻게 해야하죠? "
426,두 가지 유형이 시간을 두고 계속 바뀌어요,estj 코코,제 진짜 모습은 무엇일까요중학교까지 엣프제였고고등학교 유학가서부터 우울증와서 인프피로 10년 살다가27살부터 29살까지 취업 준비하면서 엣프제였다가다시 29부터 31까지 인프피였다가퇴사하고 3달전부터 엣프제로 살다가...지금 너무 지쳐서 번아웃인데...저같은분 계세요?
427,이 분 성별이 뭐라고 생각하세요?,초코볼러,무기명 투표 중.남자 여자                    투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
428,<인간 실격> 中 요조 오바의 MBTI,nbh12c INTJ,"늘 인간에 대한 공포에 떨고 전율하고 또 인간으로서의 제 언동에 전혀 자신을 갖지 못하고 자신의 고뇌는 가슴속 깊은 곳에 있는 작은 상자에 담아두고 그 우울함과 긴장감을 숨기고 또 숨긴 채 그저 천진난만한 낙천가인 척 가장하면서 저는 익살스럽고 약간은 별난 아이로 점차 완성되어 갔습니다.무엇이든 상관없으니 웃게만 만들면 된다. 그러면 인간들은 그들이 말하는 소위 삶이라는 것 밖에 내가 있어도 그다지 신경 쓰지 않을지도 몰라. 어쨌든 인간들의 눈에 거슬려서는 안 돼. 나는 무야. 바람이야. 텅 비었어. 이런 생각만 강해져서 저는 익살로 가족을 웃겼고, 또 가족보다 더 불가사의하고 무시무시한 머슴이랑 하녀들한테까지도 필사적으로 익살 서비스를 했던 것입니다.요조 오바의 페르소나, 인간 실격 19페이지어린 시절 페르소나에 갇혀 살았던 요조는 성인이 된 후 결국 비극적인 끝을 맞이하게 됩니다. 페르소나의 내용으로 보았을 때 요조의 MBTI는 INFJ... 아니면 INTP이 아닐까 생각합니다httpsyoutu.beUHCoupSANo4  부끄럼 많은 생애를 보냈습니다.다자이 오사무의 인간실격  한 문장을 인용하였습니다. 부제  시한부 인생인 노인의 마지막 외출가사없는음악 라스트카니발 어쿠스틱카페 인간실격 Darkacademiayoutu.be "
429,인프피와 잇프피의 조합 개인적인 생각,INXP,잘맞으면서 안맞는거 같은 느낌이에요.가치관이나 인생관 같은건 비슷한데성격이나 성향이 다른 느낌이에요.제가 호감 가는 친구가 잇프피인데저랑 3년정도 친한 친구였거든요.근데 잇프피와 정말 잘맞는 인프피가 있고 정말 안맞는 인프피가 있는 느낌? 뭔가 어느 부분에선 정말 잘맞는데 어느 부분에선 정말 다른 느낌
430,제 글씨체 어떤 유형 같나요?☺,리마,글씨체로 봤을 때 저 어떤 유형일 거 같으신가요?사진은 마키아벨리의 군주론 필사했던 거에요 글씨체로 유형 감별 가능할지 궁금하네용!!
431,흐어엉…ㅠㅠ,리찌 enxp 7w6,"댓글수,글수는 만족인데 가입한지 얼마 안되서..스탭되고싶은데.. 여러분들 댓,게시글,출석 수 공유해주세욧! "
432,이친구가 entp인건알겠는데 ..,바탕화면,민밑에 나머진 머예요? 뒤에지표가  자아는무슨뜻이죠?
433,여자분들 이런 남자 얼굴 호 vs 불호,초코볼러,무기명 투표 중어떻게 생각하세요 호불호                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
434,친하지도 않은 동생이 갑자기 반말하면 어떻게 하시겠어요?,초코볼러,무기명 투표 중어떻게 하시겠어요 정색하면서 반말하지 말라고 얘기한다 열받지만 참는다 아무 상관없다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
435,술 자주먹는 유형은? 주에 몇회정도 드시나요?,운양 ENTPA 7w88w7,전 주1회 토요일갠적으론 e가 활동적이라 자주 먹을 것 같지만 i계열이 술 오히려 더 먹을것 같은 느낌적인 늬낌
436,회사에서 직장상사가 말하고 싶지 않은 사생활 물어보면 어떻게 하시나요?,초코볼러,무기명 투표 중어떻게 하시나요 대놓고 말하기 곤란하다고 얘기한다 화제를 다른 얘기로 돌린다 사실대로 다 얘기한다                    투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
437,성희롱인지 아닌지 논란이 되고있는 남자화장실 경고문구,초코볼러,무기명 투표 중어떻게 생각하세요 성희롱 맞다아무 문제없다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
438,회사에서 일 얘기 말고는 말 한마디도 안하는 분 계신가요?,초코볼러,저는 친한 사람도 없고 업무 얘기 외에는 말도 아예 안하고 지내요그런 직장동료 꼴불견인가요? 무기명 투표 중어떻게 생각하세요 꼴불견이다 아무 문제없다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
439,인사 안하는 신입사원 후배한테 인사하고 다니라고 말하는 행동 어떻게 생각하세요?,초코볼러,무기명 투표 중어떻게 생각하세요 꼰대 같다아무 문제없다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
440,월급 160인데 차 할부금으로 80만원 낸다는 남자,초코볼러,무기명 투표 중어떻게 생각하세요 한심하다 아무 문제없다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
441,ixtx 계열에 대한 통찰,운양 ENTPA 7w88w7,욕쟁이반론 환영
442,다들 애인이나 배우자의 직업이 중요하다고 생각하시나요?,초코볼러,무기명 투표 중어떻게 생각하세요 중요하다별로 안 중요하다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
443,다들 본인이랑 전혀 안 맞는 성격 특징이 뭔가요?,초코볼러,저는 기 세고 까칠한 사람이랑은 안 맞아요
444,나 이성의 외형 엄청 고려한다 하시는분들,이 브 ENTP,"유형이랑 외형중 어디가 중요한지적고가주세요건너건너 지인분이 엄청 외형 보는데새삼 궁금해져서엔팁인 저는 향수, 깔끔한 옷헤어 스타일?정도"
445,본업은 잘하는데 인성 안 좋은 연예인 vs 인성은 좋은데 본업을 못하는 연예인,초코볼러,누가 더 싫으세요? 무기명 투표 중누가 더 싫으세요 전자후자                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
446,여자분들은 남자들이 생리현상 더 쉽게 해결하는거 부러우신가요?,초코볼러,여자들은 소변만 봐도 바지 다 내려야 되는데 남자들은 지퍼만 내리면 끝이잖아요그래서 노상방뇨도 눈치 안 보고 마음대로 하구요고속도로 휴게소나 극장만 가더라도 여자화장실은 사람 많으면 오래 기다려야 되는데 남자들은 기다리는거 일체 없구요  무기명 투표 중어떻게 생각하세요 부럽다 전혀 안 부럽다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
447,호불호 많이 갈린다는 화장실 변기,초코볼러,무기명 투표 중어떻게 생각하세요 호불호                    투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
448,친구가 자신이 동성애자라고 커밍아웃하면 어떻게 하시겠어요?,초코볼러,무기명 투표 중어떻게 하시겠어요 바로 손절한다손절은 안하지만 서서히 거리를 둔다나한테 고백하지만 않는다면 아무 상관없다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
449,목소리 좋다고 생각하는 연예인 있으세요?,초코볼러,저는 남자는 정해인여자는 손예진이요
450,유형 e로 시작하시는 분들은 조용하고 내성적인 사람 보면 답답하신가요?,초코볼러,무기명 투표 중어떻게 생각하세요 답답하다아무렇지도 않다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
451,만약에 친구나 애인이 다른 사람이랑 싸우고 나서 하소연했는데 친구(애인)가 100% 잘못한 상황이면 어떻게 하시겠어요?,초코볼러,무기명 투표 중어떻게 생각하세요 솔직하게 너가 잘못한 거라고 얘기한다일단은 위로해주고 다독여준다                    투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
452,개천절이 정확히 무슨 날인지 모르면 무식한 건가요?,초코볼러,무기명 투표 중어떻게 생각하세요 무식한 거다 무식한 건 아니다                     투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
453,조용한 사람이 활발해지려고 노력하기 vs 활발한 사람이 조용해지려고 노력하기,초코볼러,뭐가 더 힘들까요? 무기명 투표 중뭐가 더 힘들까요 전자후자                    투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
454,왜 잘생겼다고 하는지 이해 안되는 남자연예인 있으세요?,초코볼러,저는 
455,"인티제인 딸, 엄마와의 대화가힘드네요...",INTJ티제이,오늘 전화 대화내용1탄엄마 너도 건강검진 받니?나 응. 나도 이번에 3개 검진 대상이야엄마 나도 받으야는데우리집 근처엔 산부인과가 없다.요새 왜이리 찾아도 없나몰라나애를 안낳으니 많이들 닫았지그래도 주변에 없을리가...?엄마아니. 찾아봐도 없다니까나내가 찾아볼게검색...인근에 3개나 되는데?엄마어딘지 모르는데 집근처에 있다고?어딘데?나 엄마 사는곳이 좀 멀어요그지역 지리는 나도 모르지  네이버에 나와암튼 근처니 초행길이면 택시타고 나중에 버스 알아놓음되지.엄마거길 어떻게 간데...전화번호 알려줘봐나 전화번호 알려주며검색해보니 집 주변이라 기본요금이니 택시를 타면 되지.엄마그니까 어딨는지 아냐고..나답답..그니까 택시를 타라는거지 ..길모르니...2탄엄마유방암은 어디로 가야돼?나2년전에 받있지 않아?엄마이번에 혹이 잡히는거 같아서 잘못보는거 같애.다른데 갈까나이번에 잡혔으면  지난번엔 당연히 체크가 안돼지...으잉?엄마그니까.못믿겠어. 잘못보는거 같애나 의사도 사람인지라 검진 여럿이면 놓칠수도 있으니 이번 문진때 갑자기 잡힌다고 언급을해엄마 아냐. 잘못보는거 같애 다른데 알아봐야나나이번에 잡힌거면 지난번에 못보는게 맞고이번 검진때 특히 언급을 해 줘야 의사가  그 부분을 집중적으로 봐주겠지...엄마 다시반복 다른데 알아봐줘...넌 내  말을  못알아듣는거 같애. 거긴 안간다는데 딴소리니.네....어렵네유
456,에니어그램 1W2는 어떤느낌 인가요?,탈출 ISFP,"요즘은 1w2가 나오는데,대체 어떤느낌 일까요?일단 isfp이지만 어떤 검사에서는 isfj가 나오기도 합니다!"
457,이 사람 mbti 좀 맞춰주세요!,Intp녕녕,고집세다 다정다감하다날카롭다순수하다느리면서 급하다가끔 리더편안하다직설적이다게으르다고독과 예술
458,여자분들 공유 같은 남자 얼굴 어떻게 생각하세요?,초코볼러,무기명 투표 중공유 호불호                    투표하기                        투표자 보기                    투표자 0명                        확인                전체 투표자 보기                    투표자 0명                        확인
